CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
03,BERGEN,0990,CRESSKILL BORO,Admins,61.5,38.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0990,CRESSKILL BORO,Teachers,77.6,22.4,91.8,3.4,0.0,4.1,0.0,0.0,0.7,2017-18
03,BERGEN,1070,DEMAREST BORO,Admins,33.3,66.7,83.3,16.7,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1070,DEMAREST BORO,Teachers,87.7,12.3,91.8,4.1,0.0,4.1,0.0,0.0,0.0,2017-18
03,BERGEN,1130,DUMONT BORO,Admins,50.0,50.0,83.3,11.1,5.6,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1130,DUMONT BORO,Teachers,80.8,19.2,92.0,4.7,0.5,2.8,0.0,0.0,0.0,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Admins,40.0,60.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Teachers,85.1,14.9,89.2,6.8,1.4,2.7,0.0,0.0,0.0,2017-18
03,BERGEN,1270,EDGEWATER BORO,Admins,50.0,50.0,83.3,16.7,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1270,EDGEWATER BORO,Teachers,93.0,7.0,80.3,14.1,1.4,2.8,0.0,0.0,1.4,2017-18
03,BERGEN,1345,ELMWOOD PARK,Admins,36.4,63.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1345,ELMWOOD PARK,Teachers,77.2,22.8,91.3,6.0,0.0,1.6,0.0,0.0,1.1,2017-18
03,BERGEN,1360,EMERSON BORO,Admins,54.5,45.5,90.9,0.0,0.0,9.1,0.0,0.0,0.0,2017-18
03,BERGEN,1360,EMERSON BORO,Teachers,78.0,22.0,94.0,2.0,0.0,4.0,0.0,0.0,0.0,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,Admins,69.6,30.4,39.1,34.8,26.1,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,Teachers,77.8,22.2,59.2,18.0,16.2,6.3,0.4,0.0,0.0,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,Teachers,84.5,15.5,82.8,8.6,3.4,5.2,0.0,0.0,0.0,2017-18
03,BERGEN,1450,FAIR LAWN BORO,Admins,44.4,55.6,96.3,3.7,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,1450,FAIR LAWN BORO,Teachers,78.4,21.6,92.6,3.3,0.5,3.6,0.0,0.0,0.0,2017-18
